GM13042	GSM421138
GM13042	GSM421139
GM13044	GSM421140
GM13044	GSM421141
GM13047	GSM421142
GM13047	GSM421143
GM13051	GSM421144
GM13051	GSM421145
GM13053	GSM421146
GM13053	GSM421147
GM13054	GSM421148
GM13130	GSM421149
GM13131	GSM421150
GM13132	GSM421151
GM13133	GSM421152
GM13355	GSM421153
